"CompanyName_E","Region_Name_E","Circle_Name_E","Division_Name_E","DC_Name_E","Region_Name_E-2","gis_feeder_id","description_of_work","tkc_apply_date","pma_apply_date","dgm_apply_date","je_apply_date","gm_apply_date","gm_cert_apply_date"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","246835","ADDI DTR VINOD NARAYAN WALA 63 KVA CHOUKDI","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258117","NEW ADDI Goushala lodhiyakedi road 63 kav","2025-05-17","2025-05-17","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","241497","Additional DTR ANJRUOODRYT2","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","262914","DUMLAY LT CABLE AUG SCHOOL WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","246832","ADDI DTR MULLU WALA 63 KVA CHOUKDI","2026-03-20",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","241495","Additional DTR NAHALI 2","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","264079","ATARSAMA LT CABLE STAND WALA DTR","2026-03-19","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258109","New ADDI Garvadi road lodhiyakhedi 63 kva","2025-05-17","2025-05-17","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","203874","add. bichpuri cir.","2025-05-16","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265870","Conversion of LT Line : BHUNNAS LT CABLE AUG MANDIR WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","263041","CHOUKI LT CABLE AUG MISTRI WALA","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","220440","Additional Dawiya","2026-03-20",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265931","Conversion of LT Line : BHUNNAS LT CABLE AUG VIJAY GOUR WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","220424","Additional Bhawarpani","2026-03-20",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","219525","Additional Bhimpura","2026-03-20","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","64819","guthan wala dholgaon dtr 63","2026-03-19","2026-03-29",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","202465","ADDI. KUKDAPANI PRADHAN WALA","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","219539","Additional genadhana","2026-03-20","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","266034","Conversion of LT Line : AALANPUR LT CABLE AUG NANDRA ROAD WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265876","Conversion of LT Line : BHUNNAS LT CABLE AUG KHAN CHAKKI WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","220396","Additional khari","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265996","Conversion of LT Line : AALANPUR LT CABLE AUG GAON WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265994","Conversion of LT Line : AALANPUR LT CABLE AUG SCHOOL WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","220022","Additional kalakahh","2026-03-20","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","239889","NEW ADDI MALI MOHALLA DHOLGAONKHURD 100 KVA","2025-05-17","2025-05-17","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","219296","Additional sawalkheda","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","267808","NEW ADDI MUKESH CHAKKI 63 KVA SARANGPUR","2025-05-17","2025-05-18","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","202293","ADDITIONAL RAMESH DODJI WALA","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","219449","Additional Lafangdhana","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","219531","Additional sundarpani","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","241481","Additional DTR Sawalkheda 2","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","212440","malpon addistional dtr sonu wala","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","250155","Additional DTR SANGWA MAL","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","227159","Kartan school ke pas additional dtr 63 kv","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","202758","ADD.PUNAM PATEL SANGWA","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","227161","Additanol dtr 63 kv ramdev baba mandir ke pas","2025-05-17","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","210904","ADDITIONAL KHARI WALA","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","227306","Additional 63 kva dtr nousar me talab ke pas","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","220432","Additional Ghodapat","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","231693","additional 63 kva dtr at school wale se","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","203921","ADD. DAWIYA NADI WALA","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","231682","additional 63 kva tajpura jio tower se","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","269470","Additional dtr at uda pump","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","233008","Addition dtr 63 kva chipaner","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","63677","100 KVA JAGDISH WALA RAHATGAON ADDITIONAL","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","243741","100 KVA CHHOTU BAJPEYI ADDITIONAL","2026-03-19","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","243749","100 KVA CHOUHAN WALA UMARDHA ADD.","2025-09-06","2025-09-07",NULL,"2026-03-12",NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","243736","100 KVA SHANKAR DADA WALA ADDITIONAL","2026-03-19","2026-03-25",NULL,NULL,NULL,NULL
